index,tehsil_name,tehsil_code_census,tehsil_name_english,district_code,district_name,district_name_english
94,जमानियां,00991,Zamania,195,गाजीपुर,Ghazipur
95,मुहम्मदावाद,00990,Mohammadabad ,195,गाजीपुर,Ghazipur
96,सेवराई,01051,Sevrai,195,गाजीपुर,Ghazipur
97,सैदपुर,00988,Saidpur,195,गाजीपुर,Ghazipur
98,कैम्पियरगंज,00948,Campierganj,188,गोरखपुर,Gorakhpur
99,खजनी,00953,Khajni,188,गोरखपुर,Gorakhpur
100,गोला,00954,Gola ,188,गोरखपुर,Gorakhpur
101,चौरीचौरा,00951,Chauri Chaura,188,गोरखपुर,Gorakhpur
102,बाँसगांव,00952,Bansgaon,188,गोरखपुर,Gorakhpur
103,सदर,00950,Gorakhpur,188,गोरखपुर,Gorakhpur
104,सहजनवां,00949,Sahjanwa,188,गोरखपुर,Gorakhpur
105,करनैलगंज,00929,Colonelganj ,183,गोंडा,Gonda
106,गोण्डा,00928,Gonda,183,गोंडा,Gonda
107,तरबगंज,00930,Tarabganj,183,गोंडा,Gonda
108,मनकापुर,00931,MANKAPUR,183,गोंडा,Gonda
109,गौतमबुद्धनगर,00743,Gautam Buddha Nagar,141,गौतम बुद्ध नगर,Gbnagar
110,जेवर,00744,Jewar,141,गौतम बुद्ध नगर,Gbnagar
111,दादरी,00742,Dadri,141,गौतम बुद्ध नगर,Gbnagar
112,चकिया,00994,Chakia,196,चन्दौली,Chandauli
113,चन्दौली,00993,Chandauli,196,चन्दौली,Chandauli
114,नौगढ़,01053,Naugarh,196,चन्दौली,Chandauli
115,मुगलसराय,01042,Mugalsarai,196,चन्दौली,Chandauli
116,सकलडीहा,00992,Sakaldiha,196,चन्दौली,Chandauli
117,कर्वी,00875,Karwi,171,चित्रकूट,Chitrakoot
118,मऊ,00876,Mau,171,चित्रकूट,Chitrakoot
119,मानिकपुर,01031,Manikpur,171,चित्रकूट,Chitrakoot
120,राजापुर,01032,Rajapur,171,चित्रकूट,Chitrakoot
121,उरई,00854,Orai,165,जालौन,Jalaun
122,कालपी,00853,Kalpi,165,जालौन,Jalaun
123,कोंच,00855,Konch,165,जालौन,Jalaun
124,जालौन,00852,Jalaun,165,जालौन,Jalaun
125,माधौगढ़,00851,Madhogarh,165,जालौन,Jalaun
126,केराकत,00986,Kerakt,194,जौनपुर,Jaunpur
127,बदलापुर,00982,Badlapur,194,जौनपुर,Jaunpur
128,मछली शहर,00983,Machhlishahr,194,जौनपुर,Jaunpur
129,मडियाहूँ,00985,Mariahu ,194,जौनपुर,Jaunpur
130,शाहगंज,00981,Shahganj,194,जौनपुर,Jaunpur
131,सदर,00984,Jaunpur ,194,जौनपुर,Jaunpur
132,गरौठा,00857,Garautha,166,झांसी,Jhansi
133,झांसी,00860,Jhansi,166,झांसी,Jhansi
134,टहरौली,00858,Tehroli,166,झांसी,Jhansi
135,मऊरानीपुर,00859,Mauranipur,166,झांसी,Jhansi
136,मोंठ,00856,Moth,166,झांसी,Jhansi
137,देवरिया,00959,Deoria,190,देवरिया,Deoria
138,बरहज,00961,Brhaz,190,देवरिया,Deoria
139,भाटपाररानी,00963,Batparrani,190,देवरिया,Deoria
140,रुद्रपुर,00960,Rudrapur,190,देवरिया,Deoria
141,सलेमपुर,00962,Slempur,190,देवरिया,Deoria
142,अमरिया,01059,Amariya,151,पीलीभीत,Pilibhit
143,कलीनगर,01057,Kalinagar,151,पीलीभीत,Pilibhit
144,पीलीभीत,00790,Pilibhit,151,पीलीभीत,Pilibhit
145,पूरनपुर,00792,Puranpur,151,पीलीभीत,Pilibhit
146,बीसलपुर,00791,Bisalpur,151,पीलीभीत,Pilibhit
147,कुण्डा,00881,Kunda,173,प्रतापगढ,Pratapgarh
148,पटटी,00883,Patti,173,प्रतापगढ,Pratapgarh
149,प्रतापगढ़,00882,Pratapgarh,173,प्रतापगढ,Pratapgarh
150,रानीगंज,00884,Raniganj,173,प्रतापगढ,Pratapgarh
151,लालगंज,00880,Lalganj,173,प्रतापगढ,Pratapgarh
152,करछना,00892,Karchna,175,प्रयागराज,Prayagraj
153,कोरांव,00895,Koraon,175,प्रयागराज,Prayagraj
154,फूलपुर,00889,Phulpur,175,प्रयागराज,Prayagraj
155,बारा,00891,Bara,175,प्रयागराज,Prayagraj
156,मेजा,00894,Meja,175,प्रयागराज,Prayagraj
157,सदर,00890,Allahabad,175,प्रयागराज,Prayagraj
158,सोरांव,00888,Soraon,175,प्रयागराज,Prayagraj
159,हंडिया,00893,Handia,175,प्रयागराज,Prayagraj
160,खागा,00879,Khaga,172,फतेहपुर,Fatehpur
161,फतेहपुर सदर,00878,Fatehpur Sadar,172,फतेहपुर,Fatehpur
162,बिन्दकी,00877,Bindki,172,फतेहपुर,Fatehpur
163,अमृतपुर,00831,Amritpur,159,फर्रूखाबाद,Farrukhabad
164,कायमगंज,00830,Kaymganj,159,फर्रूखाबाद,Farrukhabad
165,र्फरुखाबाद,00832,Farrukhabad ,159,फर्रूखाबाद,Farrukhabad
166,जसराना,00773,Jasrana,147,फिरोजाबाद,Firozabad
167,टूण्डला,00771,Tundla,147,फिरोजाबाद,Firozabad
168,फिरोजाबाद,00772,Firozabad,147,फिरोजाबाद,Firozabad
169,शिकोहावाद,00774,Shikohabad,147,फिरोजाबाद,Firozabad
170,सिरसागंज,01040,Sirsaganj,147,फिरोजाबाद,Firozabad
171,दातागंज,00783,Dataganj,149,बदायूँ,Badaun
172,बदायूँ,00782,Badaun,149,बदायूँ,Badaun
173,बिल्सी,00780,Bilsi,149,बदायूँ,Badaun
174,बिसौली,00779,Bisuli,149,बदायूँ,Badaun
175,सहसवान,00781,Sahaswan,149,बदायूँ,Badaun
176,आंवला,00786,Aonla ,150,बरेली,Bareilly
177,नवावगंज,00788,Nawabganj,150,बरेली,Bareilly
178,फरीदपुर,00789,Faridpur,150,बरेली,Bareilly
179,बरेली,00787,Bareilly,150,बरेली,Bareilly
180,बहेड़ी,00784,Baheri,150,बरेली,Bareilly
181,मीरगंज,00785,Mirganj,150,बरेली,Bareilly
182,उतरौला,00927,Utrula,182,बलरामपुर,Balrampur
183,तुलसीपुर,00926,Tulsipur,182,बलरामपुर,Balrampur
184,बलरामपुर,00925,Balrampur,182,बलरामपुर,Balrampur
185,बलिया सदर,00978,Balia Sadar,193,बलिया,Ballia
186,बाँसडीह,00979,Bansdih,193,बलिया,Ballia
187,बेल्थरा रोड,00975,Belthra Road,193,बलिया,Ballia
188,बैरिया,00980,Baria,193,बलिया,Ballia
189,रसड़ा,00977,Rasra,193,बलिया,Ballia
190,सिकन्दरपुर,00976,Sikandarpur,193,बलिया,Ballia
191,बस्ती,00939,Basti,185,बस्ती,Basti
192,भानपुर,00937,Bhanpur,185,बस्ती,Basti
193,रूधौली,00940,Rudhauli,185,बस्ती,Basti
194,हरैया,00938,Harraiya,185,बस्ती,Basti
195,कैसरगंज,00922,Kaisarganj,180,बहराइच,Behraich
196,नानपारा,00919,Nanpara,180,बहराइच,Behraich
197,पयागपुर,01052,Payagpur,180,बहराइच,Behraich
198,बहराइच,00921,Bahraich,180,बहराइच,Behraich
199,महसी,00920,Mahsi,180,बहराइच,Behraich
200,मिहींपुरवा स्थित मोतीपुर,01055,Mihinpurwa Motipur,180,बहराइच,Behraich
201,खेकडा,00737,Kekda,139,बागपत,Bagpat
202,बडौत,00735,Baraut,139,बागपत,Bagpat
203,बागपत,00736,Baghpat,139,बागपत,Bagpat
204,नबाबगंज,00898,Nawabganj ,176,बाराबंकी,Barabanki
205,फतेहपुर,00896,Fatehpur,176,बाराबंकी,Barabanki
206,रामनगर,00897,Ramnagar,176,बाराबंकी,Barabanki
207,रामसनेही घाट,00900,Ramsnehi pier,176,बाराबंकी,Barabanki
208,सिरौली गौसपुर,00899,Siruli Guspur,176,बाराबंकी,Barabanki
209,हैदरगढ़,00901,Haidargarh,176,बाराबंकी,Barabanki
210,अतर्रा,00873,Atarra,170,बाँदा,Banda
211,नरैनी,00874,Nraini,170,बाँदा,Banda
212,पैलानी,01029,Pailani,170,बाँदा,Banda
213,बबेरू,00872,Baberu,170,बाँदा,Banda
214,बाँदा,00871,Banda,170,बाँदा,Banda
215,चाँदपुर,00716,Chandpur,134,बिजनौर,Bijnor
216,धामपुर,00715,Dhampur,134,बिजनौर,Bijnor
217,नगीना,00714,Nagina,134,बिजनौर,Bijnor
218,नजीबाबाद,00712,Najibabad,134,बिजनौर,Bijnor
219,बिजनौर,00713,Bijnor,134,बिजनौर,Bijnor
220,अनूपशहर,00748,Anupshahr,142,बुलन्द शहर,Bulandshahar
221,खुर्जा,00751,Khurja,142,बुलन्द शहर,Bulandshahar
222,डिबाई,00749,Debye,142,बुलन्द शहर,Bulandshahar
223,बुलन्दशहर,00746,Bulandshahar,142,बुलन्द शहर,Bulandshahar
224,शिकारपुर,00750,Shikarpur,142,बुलन्द शहर,Bulandshahar
225,सिकन्द्राबाद,00745,Sikndraabad,142,बुलन्द शहर,Bulandshahar
226,स्याना,00747,Siana,142,बुलन्द शहर,Bulandshahar
227,औराई्,00999,Aurai,198,भदोही,Bhadohi
228,ज्ञानपुर,00998,Gyanpur,198,भदोही,Bhadohi
229,भदोही,00997,Bhadohi,198,भदोही,Bhadohi
230,घोसी,00971,Ghosi,192,मऊ,Mau
231,मऊनाथ भंजन,00973,Maunath bhanjan,192,मऊ,Mau
232,मधुबन,00972,Madhuban,192,मऊ,Mau
233,मुहम्मदाबाद गोहना,00974,Muhammadabad Gohna,192,मऊ,Mau
234,गोवर्धन,01048,Govardhan,145,मथुरा,Mathura
235,छाता,00761,Chata,145,मथुरा,Mathura
236,महावन,00763,Mahavan,145,मथुरा,Mathura
237,मांट,00762,Mant,145,मथुरा,Mathura
238,सदर,00764,Mathura,145,मथुरा,Mathura
239,निचलौल,00945,Nichlaul,187,महाराजगंज,Maharajganj
240,नौतनवॉ,00944,Nautanwa,187,महाराजगंज,Maharajganj
241,फरेन्दा,00946,Pharenda,187,महाराजगंज,Maharajganj
242,महराजगंज,00947,Maharajganj (Sadar),187,महाराजगंज,Maharajganj
243,कुलपहाङ,00868,Kulpahar,169,महोबा,Mahoba
244,चरखारी,00869,Charkhari,169,महोबा,Mahoba
245,महोबा,00870,Mahoba ,169,महोबा,Mahoba
246,चुनार,01003,Chunar,199,मिर्जापुर,Mirzapur
247,मडिहान,01002,Marihan,199,मिर्जापुर,Mirzapur
248,लालगंज,01001,Lalganj,199,मिर्जापुर,Mirzapur
249,सदर,01000,Mirzapur,199,मिर्जापुर,Mirzapur
250,खतौली,00710,Khatauli,133,मुजफफर नगर,Muzaffarnagar
251,जानसठ,00711,Janst,133,मुजफफर नगर,Muzaffarnagar
252,बुढ़ाना,00709,Budhana,133,मुजफफर नगर,Muzaffarnagar
253,सदर,00708,Muzaffarnagar,133,मुजफफर नगर,Muzaffarnagar
254,कांठ,00718,Kant,135,मुरादाबाद,Moradabad
255,ठाकुरद्वारा,00717,Thakurdwara,135,मुरादाबाद,Moradabad
256,बिलारी,00720,Bilari,135,मुरादाबाद,Moradabad
257,मुरादाबाद,00719,Moradabad,135,मुरादाबाद,Moradabad
258,मवाना,00733,Mawana,138,मेरठ,Meerut
259,सदर,00734,Meerut Sadar,138,मेरठ,Meerut
260,सरधना,00732,Sardhana,138,मेरठ,Meerut
261,करहल,00776,Karhal,148,मैनपुरी,Mainpuri
262,किशनी,01033,Kishni,148,मैनपुरी,Mainpuri
263,कुरावली,01054,Kurawali,148,मैनपुरी,Mainpuri
264,घिरोर,01044,Ghiror,148,मैनपुरी,Mainpuri
265,भोगांव,00777,Bhogaon ,148,मैनपुरी,Mainpuri
